iter	RMSE
0	0.4223461319
1	0.4136456619
2	0.406156488
3	0.3991997347
4	0.3932140987
5	0.3876622151
6	0.3827956038
7	0.3788071971
8	0.3752075069
9	0.372220312
10	0.3692625661
11	0.3667880871
12	0.3646268289
13	0.3625871481
14	0.3606117963
15	0.3588806587
16	0.3574623766
17	0.3558257911
18	0.3544894138
19	0.3534384551
20	0.3525192216
21	0.3515902228
22	0.3505227227
23	0.3497225637
24	0.3489599987
25	0.3482581242
26	0.3476206714
27	0.3470718795
28	0.3465648856
29	0.3460535785
30	0.3455022272
31	0.3450227043
32	0.3444793878
33	0.3441242342
34	0.3437674798
35	0.3433964325
36	0.3430876458
37	0.342751677
38	0.3425091873
39	0.3422645123
40	0.3420481609
41	0.3417024507
42	0.3415162863
43	0.3412225626
44	0.3410219374
45	0.3408090292
46	0.3405617065
47	0.3404103453
48	0.3402634843
49	0.3400368313
50	0.3398320818
51	0.339691908
52	0.3394850243
53	0.3392897306
54	0.3391674066
55	0.3390421284
56	0.3388942187
57	0.3387623653
58	0.3386021285
59	0.3384260291
60	0.3382297918
61	0.3381274389
62	0.3380267713
63	0.3378900576
64	0.3377731678
65	0.3376459302
66	0.337569541
67	0.3374313727
68	0.3373103476
69	0.3371895273
70	0.3370608765
71	0.3369764866
72	0.3368527508
73	0.3367633702
74	0.3366600443
75	0.33660178
76	0.3365460783
77	0.3364634935
78	0.3363972659
79	0.3363030982
80	0.3361875813
81	0.3360973423
82	0.3360582599
83	0.3360126054
84	0.3358954445
85	0.3358280662
86	0.3357303939
87	0.3356325657
88	0.3355724736
89	0.3355087864
90	0.3354378563
91	0.3353827294
92	0.335305229
93	0.3352231657
94	0.3351250578
95	0.3350365836
96	0.3349476843
97	0.3348914734
98	0.3348145781
99	0.334776265
100	0.3347315313
101	0.3346485991
102	0.3345688807
103	0.3345269321
104	0.3344999804
105	0.3344519567
106	0.3343750045
107	0.3343144441
108	0.3342665628
109	0.3342018136
110	0.3341185313
111	0.3340804551
112	0.3340182263
113	0.3339556741
114	0.3339058723
115	0.3338487527
116	0.3338072834
117	0.3337574356
118	0.3337154574
119	0.3336210676
120	0.333577389
121	0.3335496429
122	0.3335098607
123	0.3334672186
124	0.333413809
125	0.3333714694
126	0.3333179845
127	0.3332534704
128	0.3331891377
129	0.3331545757
130	0.3331046724
131	0.3330539613
132	0.3329896625
133	0.3329442656
134	0.3328935404
135	0.332825892
136	0.3327312312
137	0.3326673533
138	0.3326086934
139	0.3325670356
140	0.3325428375
141	0.3325055374
142	0.3324241453
143	0.332381152
144	0.3323331946
145	0.3323067744
146	0.3322497982
147	0.332213558
148	0.3321644346
149	0.332105899
150	0.3320708667
151	0.3320057108
152	0.3319415101
153	0.3318970877
154	0.3318378702
155	0.3317968403
156	0.3317431352
157	0.3316810896
158	0.3316407207
159	0.331576911
160	0.3315062373
161	0.3314363925
162	0.3313923894
163	0.3313585226
164	0.3313000516
165	0.3312742449
166	0.3312163153
167	0.3311677178
168	0.3311245928
169	0.3310949905
170	0.3310438424
171	0.3310027709
172	0.3309645505
173	0.3309334596
174	0.3308786658
175	0.3308300199
176	0.3307932503
177	0.3307623852
178	0.3307278247
179	0.3307013056
180	0.3306759666
181	0.3306467504
182	0.3305896299
183	0.3305340487
184	0.3304845463
185	0.3304631749
186	0.330432127
187	0.3303839427
188	0.3303320153
189	0.3302971527
190	0.3302687384
191	0.3302158198
192	0.3301831458
193	0.3301366777
194	0.3301080357
195	0.3300733099
196	0.3300491597
197	0.3300229508
198	0.329985104
199	0.3299505095
200	0.3299127865
201	0.3298875673
202	0.3298479666
203	0.3298152088
204	0.3297661484
205	0.329722944
206	0.3296823521
207	0.3296525918
208	0.3296233067
209	0.3296005115
210	0.3295743291
211	0.3295291388
212	0.3295012217
213	0.3294667479
214	0.3294269872
215	0.3293853176
216	0.329361986
217	0.3293453224
218	0.3292990096
219	0.3292671129
220	0.3292401084
221	0.3292091391
222	0.3291933289
223	0.3291697523
224	0.3291468532
225	0.3291078972
226	0.3290682776
227	0.3290233214
228	0.3289698648
229	0.3289504619
230	0.328918634
231	0.3288802978
232	0.3288360376
233	0.3288081083
234	0.3287741688
235	0.3287442924
236	0.3287148051
237	0.3286863403
238	0.3286580421
239	0.3286349077
240	0.3286175475
241	0.3285863442
242	0.3285330692
243	0.3285029828
244	0.3284586443
245	0.3284320375
246	0.3283992276
247	0.3283509194
248	0.3283233767
249	0.3282995199
250	0.328276498
251	0.3282502726
252	0.3282267432
253	0.3282108907
254	0.328177194
255	0.3281409774
256	0.3281200107
257	0.3280918923
258	0.3280582556
259	0.3280245145
260	0.3280082119
261	0.3279922696
262	0.3279657778
263	0.3279334304
264	0.3278984592
265	0.3278722212
266	0.3278426808
267	0.3278191856
268	0.3277922627
269	0.3277397048
270	0.3276991523
271	0.3276759781
272	0.3276624852
273	0.3276332597
274	0.3276017398
275	0.3275589698
276	0.3275252691
277	0.3275022314
278	0.3274808693
279	0.3274594919
280	0.327431903
281	0.327397175
282	0.3273834186
283	0.3273553041
284	0.3273286862
285	0.3273074837
286	0.3272938634
287	0.3272713338
288	0.3272432675
289	0.3272119979
290	0.3271964041
291	0.3271588776
292	0.3271421555
293	0.3271267817
294	0.3270961952
295	0.3270772324
296	0.3270440963
297	0.3270182379
298	0.3269881087
299	0.3269705371
300	0.3269465292
301	0.3269183367
302	0.3269007053
303	0.3268818866
304	0.3268610478
305	0.3268240156
306	0.3268072846
307	0.3267668688
308	0.326746245
309	0.3267176982
310	0.3266997926
311	0.3266839093
312	0.3266720992
313	0.3266508653
314	0.3266335409
315	0.326604261
316	0.3265789179
317	0.3265603581
318	0.3265228432
319	0.3264939306
320	0.3264691543
321	0.3264409288
322	0.3264016727
323	0.3263831965
324	0.3263514312
325	0.3263299778
326	0.3263150996
327	0.3262894574
328	0.3262752006
329	0.3262390151
330	0.3262067253
331	0.3261900756
332	0.3261760302
333	0.3261614061
334	0.3261172314
335	0.3261053507
336	0.3260889093
337	0.326064505
338	0.326041329
339	0.3260222114
340	0.3259904071
341	0.3259647571
342	0.3259422419
343	0.3259208885
344	0.3258663655
345	0.3258519227
346	0.3258256031
347	0.3257970911
348	0.325768712
349	0.3257462276
350	0.3257163461
351	0.3256978318
352	0.3256790245
353	0.325630079
354	0.3256146844
355	0.325589159
356	0.3255777233
357	0.3255578672
358	0.3255294695
359	0.3255035078
360	0.3254888848
361	0.3254616427
362	0.3254511503
363	0.3254276808
364	0.3254033084
365	0.3253792123
366	0.3253558201
367	0.3253445326
368	0.3253288348
369	0.3253127036
370	0.32526695
371	0.3252443342
372	0.3252339979
373	0.3252243291
374	0.3252042595
375	0.3251791953
376	0.3251592464
377	0.3251417796
378	0.3251285523
379	0.3251034127
380	0.3250698739
381	0.3250482822
382	0.3250167021
383	0.3249877843
384	0.3249708941
385	0.324950862
386	0.3249348838
387	0.3249115656
388	0.3248924413
389	0.3248706043
390	0.3248461353
391	0.3248182709
392	0.3248040475
393	0.3247807939
394	0.3247609963
395	0.3247404269
396	0.3247276936
397	0.3246987111
398	0.3246756124
399	0.3246533951
400	0.324628989
401	0.3246107
402	0.3245890483
403	0.3245636713
404	0.324541099
405	0.3245286584
406	0.3245111158
407	0.3244976842
408	0.3244811004
409	0.324465412
410	0.3244428803
411	0.3244272061
412	0.3244180549
413	0.3244103982
414	0.3243969855
415	0.3243792059
416	0.324363869
417	0.3243394383
418	0.3243268957
419	0.3243066417
420	0.324278443
421	0.3242555304
422	0.3242366643
423	0.3242244912
424	0.3242040767
425	0.324182631
426	0.3241755894
427	0.3241533259
428	0.3241349541
429	0.3241007795
430	0.3240739895
431	0.3240498204
432	0.3240212766
433	0.3239930547
434	0.3239701528
435	0.3239550438
436	0.3239304878
437	0.3239138376
438	0.3238996803
439	0.3238780767
440	0.3238565355
441	0.3238440581
