iter	Passed	Remaining
0	149	149680
1	154	77170
2	159	52856
3	165	41104
4	169	33824
5	174	28942
6	179	25500
7	184	22910
8	189	20888
9	195	19352
10	200	18034
11	205	16925
12	210	16000
13	215	15201
14	220	14506
15	226	13920
16	231	13370
17	236	12897
18	241	12470
19	246	12071
20	251	11710
21	256	11414
22	262	11134
23	267	10871
24	272	10633
25	278	10414
26	283	10212
27	288	10024
28	294	9846
29	299	9672
30	304	9505
31	308	9347
32	314	9216
33	319	9071
34	324	8934
35	329	8813
36	334	8694
37	339	8590
38	344	8485
39	349	8377
40	353	8279
41	359	8203
42	364	8117
43	369	8030
44	374	7954
45	379	7875
46	384	7803
47	390	7741
48	396	7691
49	403	7667
50	408	7604
51	413	7544
52	420	7510
53	425	7461
54	431	7416
55	436	7364
56	441	7310
57	447	7263
58	452	7216
59	457	7171
60	463	7132
61	468	7087
62	473	7038
63	478	6995
64	483	6955
65	488	6911
66	493	6870
67	498	6838
68	503	6799
69	509	6765
70	514	6728
71	518	6689
72	524	6654
73	529	6625
74	534	6589
75	538	6550
76	543	6515
77	548	6481
78	553	6448
79	557	6413
80	562	6386
81	568	6359
82	571	6315
83	576	6289
84	582	6266
85	587	6242
86	592	6220
87	597	6196
88	603	6175
89	608	6149
90	613	6125
91	618	6102
92	623	6080
93	628	6060
94	634	6041
95	639	6017
96	644	5998
97	648	5972
98	653	5949
99	658	5930
100	663	5909
101	669	5891
102	675	5883
103	680	5861
104	685	5842
105	691	5829
106	696	5811
107	705	5824
108	711	5814
109	717	5802
110	723	5790
111	727	5770
112	732	5752
113	737	5734
114	742	5715
115	747	5698
116	752	5680
117	757	5661
118	762	5641
119	767	5627
120	772	5613
121	777	5591
122	782	5575
123	786	5559
124	791	5541
125	796	5525
126	801	5510
127	806	5492
128	811	5481
129	817	5470
130	822	5458
131	827	5444
132	833	5430
133	838	5418
134	845	5419
135	851	5409
136	857	5399
137	862	5389
138	868	5382
139	874	5372
140	879	5360
141	885	5349
142	890	5339
143	896	5326
144	901	5317
145	907	5306
146	912	5297
147	918	5288
148	923	5277
149	930	5270
150	935	5257
151	940	5244
152	946	5238
153	951	5224
154	956	5211
155	961	5199
156	966	5188
157	971	5176
158	977	5168
159	981	5154
160	986	5141
161	992	5132
162	997	5119
163	1001	5107
164	1007	5098
165	1012	5087
166	1017	5075
167	1022	5062
168	1027	5050
169	1031	5038
170	1037	5027
171	1042	5017
172	1047	5005
173	1052	4995
174	1057	4987
175	1063	4978
176	1068	4969
177	1074	4962
178	1079	4953
179	1085	4943
180	1090	4932
181	1095	4923
182	1100	4914
183	1106	4905
184	1111	4896
185	1116	4884
186	1121	4874
187	1127	4868
188	1132	4857
189	1136	4847
190	1141	4836
191	1146	4826
192	1151	4816
193	1158	4811
194	1163	4801
195	1167	4790
196	1172	4781
197	1177	4769
198	1182	4759
199	1188	4753
200	1192	4741
201	1197	4730
202	1201	4718
203	1206	4706
204	1210	4696
205	1215	4685
206	1220	4674
207	1224	4663
208	1229	4654
209	1234	4644
210	1239	4634
211	1244	4626
212	1250	4620
213	1255	4609
214	1259	4599
215	1264	4591
216	1269	4581
217	1274	4572
218	1279	4564
219	1284	4555
220	1289	4546
221	1294	4537
222	1300	4530
223	1305	4521
224	1310	4512
225	1315	4504
226	1320	4496
227	1325	4488
228	1330	4480
229	1335	4472
230	1340	4463
231	1345	4454
232	1350	4446
233	1355	4438
234	1360	4429
235	1366	4422
236	1371	4416
237	1377	4410
238	1383	4406
239	1389	4400
240	1394	4393
241	1400	4386
242	1405	4379
243	1411	4374
244	1417	4369
245	1422	4360
246	1427	4353
247	1433	4346
248	1439	4340
249	1446	4338
250	1451	4331
251	1458	4329
252	1463	4321
253	1468	4313
254	1474	4307
255	1479	4300
256	1485	4293
257	1491	4288
258	1496	4281
259	1501	4274
260	1507	4267
261	1512	4260
262	1517	4252
263	1522	4244
264	1527	4237
265	1532	4229
266	1540	4230
267	1545	4222
268	1550	4214
269	1556	4207
270	1561	4199
271	1566	4192
272	1571	4184
273	1576	4176
274	1581	4170
275	1586	4161
276	1591	4154
277	1596	4147
278	1601	4139
279	1607	4132
280	1612	4126
281	1617	4119
282	1622	4111
283	1627	4103
284	1632	4095
285	1637	4087
286	1643	4081
287	1648	4075
288	1654	4070
289	1660	4065
290	1665	4058
291	1671	4051
292	1675	4043
293	1680	4036
294	1685	4029
295	1690	4021
296	1695	4013
297	1702	4010
298	1707	4002
299	1712	3994
300	1717	3987
301	1721	3979
302	1727	3972
303	1732	3966
304	1737	3958
305	1742	3952
306	1747	3945
307	1752	3938
308	1757	3930
309	1762	3923
310	1767	3916
311	1772	3908
312	1777	3901
313	1782	3894
314	1787	3886
315	1792	3880
316	1797	3873
317	1802	3866
318	1808	3859
319	1813	3853
320	1818	3846
321	1823	3840
322	1829	3833
323	1833	3826
324	1839	3819
325	1843	3812
326	1849	3805
327	1853	3798
328	1858	3790
329	1863	3784
330	1869	3777
331	1873	3770
332	1878	3763
333	1883	3755
334	1888	3748
335	1893	3741
336	1898	3734
337	1902	3727
338	1907	3720
339	1913	3714
340	1918	3707
341	1923	3701
342	1929	3695
343	1934	3689
344	1941	3686
345	1946	3679
346	1951	3672
347	1956	3666
348	1961	3659
349	1966	3652
350	1971	3645
351	1976	3639
352	1981	3632
353	1987	3626
354	1992	3619
355	1996	3612
356	2001	3604
357	2006	3597
358	2011	3590
359	2016	3585
360	2022	3580
361	2027	3573
362	2032	3567
363	2038	3562
364	2044	3556
365	2049	3550
366	2054	3544
367	2059	3537
368	2065	3531
369	2070	3525
370	2075	3518
371	2081	3513
372	2086	3506
373	2091	3500
374	2096	3494
375	2102	3488
376	2107	3482
377	2112	3476
378	2117	3469
379	2122	3463
380	2127	3456
381	2132	3450
382	2137	3444
383	2143	3438
384	2148	3431
385	2153	3424
386	2158	3418
387	2163	3412
388	2168	3405
389	2173	3399
390	2178	3392
391	2183	3386
392	2188	3379
393	2192	3372
394	2198	3367
395	2204	3361
396	2208	3355
397	2213	3348
398	2218	3341
399	2223	3335
400	2228	3329
401	2234	3323
402	2239	3317
403	2244	3310
404	2249	3304
405	2254	3297
406	2258	3291
407	2263	3284
408	2268	3277
409	2273	3271
410	2279	3266
411	2284	3260
412	2289	3253
413	2294	3247
414	2299	3241
415	2305	3235
416	2309	3229
417	2315	3223
418	2320	3217
419	2325	3211
420	2330	3205
421	2335	3199
422	2340	3192
423	2345	3186
424	2350	3180
425	2356	3174
426	2361	3169
427	2367	3164
428	2372	3158
429	2378	3153
430	2384	3147
431	2389	3141
432	2395	3137
433	2400	3131
434	2406	3125
435	2411	3119
436	2416	3113
437	2422	3107
438	2429	3104
439	2434	3098
440	2439	3092
441	2444	3085
442	2449	3079
443	2453	3072
444	2459	3067
445	2464	3061
446	2469	3055
447	2474	3049
448	2479	3042
449	2484	3036
450	2489	3030
451	2494	3023
452	2499	3017
453	2504	3012
454	2509	3006
455	2514	2999
456	2519	2993
457	2524	2987
458	2529	2981
459	2535	2976
460	2540	2970
461	2546	2964
